C5orf64	-1
TTC17	-0.999885176254449
MRPS27	-0.999770352508899
PIGY	-0.999655528763348
GPAA1	-0.999540705017798
KIF4A	-0.999425881272247
EPS15	-0.999311057526696
SCAMP4	-0.999196233781146
CLDN16	-0.999081410035595
MTDH	-0.998966586290045
CYP20A1	-0.998851762544494
PPP1R3G	-0.998736938798944
FOXN3	-0.998622115053393
RPAP3	-0.998507291307842
TAF9	-0.998392467562292
SLC52A3	-0.998277643816741
GATA6	-0.998162820071191
PSMA2	-0.99804799632564
MYRIP	-0.99793317258009
SMAD4	-0.997818348834539
TM9SF4	-0.997703525088988
TMIGD1	-0.997588701343438
ATP5F1	-0.997473877597887
DCUN1D2	-0.997359053852337
ENGASE	-0.997244230106786
TRIM62	-0.997129406361235
ERMP1	-0.997014582615685
USP28	-0.996899758870134
RNF181	-0.996784935124584
MRAP2	-0.996670111379033
EVX1	-0.996555287633483
LRRC26	-0.996440463887932
PSMA6	-0.996325640142381
CYB561	-0.996210816396831
VPS25	-0.99609599265128
PTK6	-0.99598116890573
VWC2L	-0.995866345160179
CXCL16	-0.995751521414629
FAM96B	-0.995636697669078
TRMU	-0.995521873923527
EIF2AK1	-0.995407050177977
CYP2J2	-0.995292226432426
ZNF69	-0.995177402686876
CEP57L1	-0.995062578941325
SFXN1	-0.994947755195774
CTBS	-0.994832931450224
BHLHB9	-0.994718107704673
DHX57	-0.994603283959123
ARF1	-0.994488460213572
NDUFB2	-0.994373636468022
CA2	-0.994258812722471
HSPA4L	-0.99414398897692
PIGW	-0.99402916523137
PLS3	-0.993914341485819
YPEL1	-0.993799517740269
MRPL38	-0.993684693994718
GOLGA4	-0.993569870249168
KLHL23	-0.993455046503617
EEFSEC	-0.993340222758066
PTK2B	-0.993225399012516
C5orf28	-0.993110575266965
DCSTAMP	-0.992995751521415
PFDN2	-0.992880927775864
HLA-DMB	-0.992766104030314
B3GALT1	-0.992651280284763
CEP112	-0.992536456539212
OR52B4	-0.992421632793662
ARL4D	-0.992306809048111
MAN2A1	-0.992191985302561
MCMBP	-0.99207716155701
COMMD3	-0.991962337811459
SLC44A2	-0.991847514065909
DPP4	-0.991732690320358
CASP3	-0.991617866574808
KLF7	-0.991503042829257
ZNF70	-0.991388219083707
TTI1	-0.991273395338156
FUT7	-0.991158571592605
SP5	-0.991043747847055
IFT52	-0.990928924101504
DUSP11	-0.990814100355954
FNDC3B	-0.990699276610403
RIMS1	-0.990584452864852
NETO1	-0.990469629119302
TMEM70	-0.990354805373751
DONSON	-0.990239981628201
S100A10	-0.99012515788265
DYRK4	-0.9900103341371
METTL2B	-0.989895510391549
NLGN1	-0.989780686645998
COMP	-0.989665862900448
C9orf41	-0.989551039154897
CDK6	-0.989436215409347
CCDC85C	-0.989321391663796
ANGPTL2	-0.989206567918245
SAMD7	-0.989091744172695
CGNL1	-0.988976920427144
PDZD11	-0.988862096681594
RTN4RL1	-0.988747272936043
GIPC2	-0.988632449190493
CWC25	-0.988517625444942
CHPF2	-0.988402801699391
TPRG1L	-0.988287977953841
POLR2E	-0.98817315420829
NMNAT1	-0.98805833046274
PCYT1A	-0.987943506717189
NLRP6	-0.987828682971639
SH3RF1	-0.987713859226088
SLC10A7	-0.987599035480537
TBP	-0.987484211734987
ZDHHC18	-0.987369387989436
ADORA3	-0.987254564243886
EHHADH	-0.987139740498335
SYT14	-0.987024916752784
PPFIA4	-0.986910093007234
CYP46A1	-0.986795269261683
SLC35E2B	-0.986680445516133
ZNF783	-0.986565621770582
NTAN1	-0.986450798025032
ZNHIT3	-0.986335974279481
SEC61B	-0.98622115053393
OR2T4	-0.98610632678838
SSH1	-0.985991503042829
SLC35D1	-0.985876679297279
HSPD1	-0.985761855551728
TNR	-0.985647031806178
CHKA	-0.985532208060627
FAM105A	-0.985417384315076
